Seal Name,Material,Speed (in/min),Timestamp,Stretch Duration (s),Start Target Measurement (in),End Target Measurement (in),Start Measurement (in),End Measurement (in)
test 2,air,6,2024-04-15 14:37:51.543104,24.013,9.468105,11.468105,9.469015,11.469404
test 2,air,6,2024-04-15 14:39:13.567328,24.062,9.468105,11.468105,9.468711,11.4691
test 2,air,6,2024-04-15 14:40:11.278131,24.012,9.468105,11.468105,9.468408,11.467887
test 2,air,6,2024-04-15 14:41:08.930487,24.068,9.468105,11.468105,9.468711,11.4691
test 2,air,6,2024-04-15 14:42:12.915047,24.072,9.468105,11.468105,9.468711,11.469404
test 2,air,6,2024-04-15 14:43:12.073436,24.05,9.468105,11.468105,9.468711,11.4691
test 1,air,7,2024-04-15 14:46:22.759797,23.395,8.074565,9.217565,8.074565,9.217601
test 1,air,7,2024-04-15 14:46:58.816325,13.894,8.074565,9.217565,8.074565,9.219421
test 1,air,7,2024-04-15 14:47:42.805215,20.802,8.074565,9.217565,8.074565,9.218511
test 1,air,7,2024-04-15 14:48:20.350617,13.974,8.074565,9.217565,8.074868,9.218208
test 1,air,7,2024-04-15 14:49:03.736712,20.184,8.074565,9.217565,8.074868,9.217601
test 1,air,7,2024-04-15 14:49:45.322559,19.218,8.074565,9.217565,8.074565,9.219421
test 1,air,7,2024-04-15 14:50:39.441788,19.497,8.074565,9.217565,8.075172,9.218208
test 1,air,7,2024-04-15 14:51:27.141222,24.873,8.074565,9.217565,8.074868,9.219118
test 3,air,6,2024-04-15 14:55:23.284248,25.134,7.055568,9.155567999999999,7.055871,9.15634
test 3,air,6,2024-04-15 14:56:23.555905,25.147,7.055568,9.155567999999999,7.056174,9.15634
test 3,air,6,2024-04-15 14:57:26.343273,25.105,7.055568,9.155567999999999,7.056781,9.156947
test 3,air,6,2024-04-15 14:58:27.184309,25.107,7.055568,9.155567999999999,7.056477,9.156947
test 3,air,6,2024-04-15 14:59:29.347016,25.045,7.055568,9.155567999999999,7.055871,9.155734
test 3,air,6,2024-04-15 15:03:17.336304,25.109,7.055568,9.155567999999999,7.055871,9.156947
test 3,air,6,2024-04-15 15:04:24.500345,25.049,7.055568,9.155567999999999,7.055871,9.156037
small silver,aluminum,6,2024-04-15 15:39:47.849587,12.607,5.678101,6.588101,5.678708,6.58883
test 1,air,7,2024-04-15 16:33:56.881190,19.695,8.074565,9.217565,8.074868,9.217905
test 1,air,7,2024-04-15 16:34:34.235684,13.913,8.074565,9.217565,8.074868,9.219118
test 1,air,7,2024-04-15 16:35:17.744056,19.903,8.074565,9.217565,8.074565,9.219421
test 1,air,7,2024-04-15 16:36:01.593599,21.328,8.074565,9.217565,8.074868,9.218814
test 1,air,7,2024-04-15 16:36:40.065285,13.959,8.074565,9.217565,8.075172,9.218208
test 1,air,7,2024-04-15 16:37:25.939624,13.893,8.074565,9.217565,8.074565,9.217905
test 1,air,7,2024-04-15 16:38:09.071586,19.825,8.074565,9.217565,8.074868,9.217298
test 1,air,7,2024-04-15 16:38:46.012514,13.967,8.074565,9.217565,8.074565,9.218208
test 1,air,7,2024-04-15 16:43:07.208007,19.82,8.074565,9.217565,8.074565,9.218208
test 1,air,7,2024-04-15 16:43:44.307677,13.919,8.074565,9.217565,8.074868,9.218208
test 1,air,7,2024-04-15 16:44:32.977137,23.972,8.074565,9.217565,8.074868,9.218208
test 1,air,7,2024-04-15 16:45:23.404877,20.557,8.074565,9.217565,8.074565,9.217905
test 1,air,7,2024-04-15 16:46:00.532040,13.921,8.074565,9.217565,8.075172,9.217298
test 2,air,6,2024-04-15 16:46:43.566681,13.974,9.468105,11.468105,8.074565,9.218511
test 2,air,6,2024-04-15 16:47:36.688351,19.563,9.468105,11.468105,8.075172,9.217905
test 1,air,7,2024-04-15 16:48:27.717830,24.055,8.074565,9.217565,9.468408,11.4691
test 1,air,7,2024-04-15 16:49:25.442554,24.097,8.074565,9.217565,9.468408,11.469404
test 1,air,7,2024-04-15 16:50:25.549385,24.085,8.074565,9.217565,9.468408,11.4691
test 1,air,7,2024-04-15 16:52:01.617835,14.044,8.074565,9.217565,8.075172,9.218208
test 1,air,7,2024-04-15 16:52:49.910975,22.998,8.074565,9.217565,8.074868,9.218814
test 2,air,6,2024-04-15 16:54:06.531000,23.972,9.468105,11.468105,9.469015,11.468797
test 2,air,6,2024-04-15 16:55:37.497975,24.078,9.468105,11.468105,9.468711,11.469707
test 2,air,6,2024-04-15 16:56:54.723507,24.091,9.468105,11.468105,9.468408,11.469404
test 2,air,6,2024-04-15 16:57:54.259393,24.086,9.468105,11.468105,9.469015,11.4691
test 2,air,6,2024-04-15 16:58:55.012543,24.111,9.468105,11.468105,9.468711,11.47001
test 2,air,6,2024-04-15 17:00:07.546979,24.086,9.468105,11.468105,9.469015,11.470314
test 2,air,6,2024-04-15 17:01:37.631478,24.051,9.468105,11.468105,9.468408,11.468797
test 2,air,6,2024-04-15 17:02:37.427423,24.056,9.468105,11.468105,9.468711,11.4691
test 2,air,6,2024-04-15 17:03:40.298095,24.004,9.468105,11.468105,9.468408,11.468797
test 2,air,6,2024-04-15 17:04:58.710084,24.11,9.468105,11.468105,9.468711,11.470314
test 2,air,6,2024-04-15 17:06:01.747881,24.079,9.468105,11.468105,9.468711,11.468191
test 2,air,6,2024-04-15 17:07:08.784922,24.114,9.468105,11.468105,9.468408,11.468797
test 2,air,6,2024-04-15 17:08:07.621023,24.048,9.468105,11.468105,9.469015,11.468797
test 2,air,6,2024-04-15 17:09:10.000172,24.039,9.468105,11.468105,9.468408,11.468494
test 2,air,6,2024-04-15 17:10:58.623246,24.041,9.468105,11.468105,9.469318,11.469707
test 2,air,6,2024-04-15 17:12:08.148658,26.116,9.468105,11.468105,9.468408,11.4691
test 2,air,6,2024-04-15 17:13:11.562705,24.098,9.468105,11.468105,9.468711,11.468494
test 3,air,6,2024-04-15 17:14:20.877170,24.123,7.055568,9.155567999999999,9.468711,11.470314
test 3,air,6,2024-04-15 17:15:27.406704,24.134,7.055568,9.155567999999999,9.468408,11.469404
test 3,air,6,2024-04-15 17:17:39.382987,25.229,7.055568,9.155567999999999,7.055871,9.15725
test 3,air,6,2024-04-15 17:19:17.142206,25.245,7.055568,9.155567999999999,7.055871,9.156643
test 3,air,6,2024-04-15 17:20:28.753414,27.45,7.055568,9.155567999999999,7.055871,9.156643
test 3,air,6,2024-04-15 17:21:32.545332,25.224,7.055568,9.155567999999999,7.056174,9.156947
test 3,air,6,2024-04-15 17:25:07.396753,25.234,7.055568,9.155567999999999,7.055871,9.156643
